Category,Gender
Purchase grocery online,F
Purchase grocery online,F
Purchase grocery online,F
Purchase grocery online,F
Purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Do not purchase grocery online,F
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Purchase grocery online,M
Do not purchase grocery online,M
Do not purchase grocery online,M
Do not purchase grocery online,M
Do not purchase grocery online,M
Do not purchase grocery online,M
