 user_id,art_galleries,dance_clubs,juice_bars,restaurants,museums,resorts,picnic_spots,beaches,theaters,religious_institutions
 501,0.96,2,1.94,0.51,1.02,1.7,3.19,2.7,1.7,2.38
 502,2.72,1.96,1.39,0.32,1.06,2.46,3.18,2.86,1.15,2.86
 503,0.9,1.08,2.48,0.41,0.82,1.78,3.18,2.83,1.41,3.46
 504,0.64,1.28,0.48,0.35,0.7,1.58,3.18,3.01,2.18,2.98
 505,0.99,1.04,0.35,0.58,0.74,2.22,3.18,2.99,1.5,2.78
 506,2.5,2,0.24,0.51,0.8,1.78,3.17,2.89,1.54,3.12
 507,0.86,1.04,1.31,0.48,0.56,1.78,3.18,3.05,2.05,2.62
 508,0.7,1,1.78,0.64,2.98,2.36,3.18,2.74,1.15,2.5
 509,0.86,0.76,1.06,0.51,2.62,2.34,3.18,2.81,1.09,2.7
 510,1.12,2.04,0.19,0.33,0.26,1.36,3.17,3.07,1.34,3.18
 511,1.22,1.16,2.18,0.55,1.38,2.52,3.19,2.66,1.92,2.54
 512,0.96,1.2,0.19,0.33,0.66,1.24,3.16,2.94,1.28,3.62
 513,0.67,1.24,0.96,0.53,0.78,1.44,3.18,2.9,1.6,2.88
 514,0.77,1.88,2.43,0.65,1.06,3.12,3.2,2.69,2.11,2.4
 515,0.86,1.2,0.35,0.42,0.96,1.72,3.17,2.57,0.96,3.06
 516,0.9,1,2.84,0.5,1.28,2.14,3.2,2.97,1.54,2.54
 517,1.31,0,0.26,0.72,0.96,1.16,3.18,2.9,2.14,2.88
 518,0.64,1.04,2.03,0.53,1.6,1.9,3.18,2.9,1.12,2.88
 519,0.96,1.28,0.22,0.37,0.82,2.14,3.18,2.62,1.34,2.8
 520,0.77,1.08,0.3,0.55,1.06,2.26,3.18,3.23,1.73,2.66
 521,0.51,1.36,0.13,0.33,0.7,1.02,3.18,2.89,1.63,2.7
 522,0.86,1.04,1.89,0.61,1.46,2.3,3.19,2.77,1.92,2.62
 523,0.51,1.08,2.48,0.57,0.66,1.8,3.19,2.58,1.38,2.32
 524,0.74,0.96,0.26,0.42,0.86,1.54,3.17,2.86,1.63,3.04
 525,0.7,1.64,2.46,0.57,1.46,2.54,3.2,2.95,1.89,2.38
 526,0.86,1.36,1.68,0.49,1.3,3.04,3.19,2.7,1.31,2.78
 527,0.7,1.12,1.23,0.49,1.52,2.34,3.18,2.78,1.76,2.66
 528,0.77,1.4,0.16,0.59,0.94,1.94,3.18,3.06,1.41,2.66
 529,1.34,1.64,0.37,0.39,0.58,1.94,3.18,2.72,1.66,2.94
 530,0.53,0.96,0.18,0.58,0.66,1.4,3.18,2.95,1.5,2.42
 531,0.86,0.6,0.24,0.64,0.94,1.7,3.18,2.78,1.44,2.34
 532,1.12,0.16,0.19,0.69,0.62,1.44,3.18,2.9,1.73,2.46
 533,0.83,1.2,1.25,0.56,1.04,2.02,3.18,2.66,1.86,2.66
 534,0.8,1.08,1.45,0.45,0.98,1.7,3.18,2.9,1.09,3.02
 535,0.9,0.88,1.84,0.41,0.72,2,3.18,2.66,1.06,2.82
 536,0.58,1.12,1.57,0.45,0.78,1.5,3.18,2.77,1.44,2.9
